# DTStamp_FHdata_calc_accn_t (tangential acceleration) 2023-10-14 11:43:18 76307464 
# N[1] rtime[2], u[3], u_next[4], curr_alpha[5], curr_beta[6], curr_norm_accn[7], min_tang_accn[8], curr_tang_accn[9], max_tang_accn[10] eps[11] rho[12] check_tang_accn[13] 
   153     0.153000  0.014854805  0.000100096  0.945747707  0.324901946  0.000000000000000000 -31.720933369  31.720933369  31.720933369  0.000000539501364    92.640127 31.720933368853071 
   154     0.154000  0.014954901  0.000100137  0.945727103  0.324961914  0.000000000000000000 -31.721624441  31.721624441  31.721624441  0.000000539999436    92.554656 31.721624441033228 
   155     0.155000  0.015055038  0.000100178  0.945706480  0.325021928  0.000000000000000000 -31.722316209  31.722316209  31.722316209  0.000000540498251    92.469215 31.722316209155487 
   156     0.156000  0.015155215  0.000100219  0.945685837  0.325081987  0.000000000000000000 -31.723008674  31.723008674  31.723008674  0.000000540997812    92.383805 31.723008674326660 
   157     0.157000  0.015255434  0.000100260  0.945665173  0.325142092  0.000000000000000000 -31.723701838  31.723701838  31.723701838  0.000000541498118    92.298425 31.723701837655938 
   158     0.158000  0.015355693  0.000100301  0.945644490  0.325202242  0.000000000000000000 -31.724395700  31.724395700  31.724395700  0.000000541999172    92.213075 31.724395700254906 
   159     0.159000  0.015455994  0.000100342  0.945623787  0.325262438  0.000000000000000000 -31.725090263  31.725090263  31.725090263  0.000000542500977    92.127756 31.725090263237533 
   160     0.160000  0.015556336  0.000100383  0.945603064  0.325322679  0.000000000000000000 -31.725785528  31.725785528  31.725785528  0.000000543003531    92.042467 31.725785527720184 
   161     0.161000  0.015656719  0.000100424  0.945582321  0.325382966  0.000000000000000000 -31.726481495  31.726481495  31.726481495  0.000000543506839    91.957208 31.726481494821638 
   162     0.162000  0.015757143  0.000100466  0.945561557  0.325443299  0.000000000000000000 -31.727178166  31.727178166  31.727178166  0.000000544010899    91.871980 31.727178165663084 
